humidity,precipMM,tempC,windspeedKmph,HeatIndexC
26,0,32,5,30
31,0,30,5,29
36,0,28,5,27
38,0,26,5,26
39,0,25,4,25
40,0,23,4,25
40,0,22,4,24
39,0,21,4,21
38,0,20,4,20
37,0,20,4,20
37,0,19,4,19
36,0,19,4,19
32,0,21,3,23
28,0,22,3,24
24,0,24,3,25
21,0,25,3,26
19,0,27,3,27
16,0,31,3,29
16,0,32,5,30
15,0,33,7,32
15,0,34,9,33
16,0,34,9,32
16,0,34,10,32
17,0,32,10,30
21,0,32,9,30
25,0,30,8,28
29,0,28,7,27
29,0,25,6,25
30,0,24,6,24
30,0,23,5,24
29,0,22,5,23
27,0,22,5,23
26,0,22,5,23
24,0,21,5,22
22,0,21,5,21
20,0,20,5,20
19,0,22,5,22
17,0,21,4,24
15,0,22,4,24
14,0,24,4,25
13,0,26,4,26
12,0,30,4,28
12,0,32,5,30
13,0,33,6,31
13,0,34,8,32
14,0,34,8,32
15,0,34,9,31
16,0,32,9,30
20,0,31,8,29
25,0,30,8,28
29,0,27,7,26
31,0,25,6,25
32,0,24,5,24
34,0,23,4,24
34,0,22,4,24
35,0,22,4,24
35,0,21,4,24
34,0,21,4,21
33,0,20,5,20
32,0,20,5,20
29,0,20,4,20
25,0,21,4,24
22,0,22,4,24
19,0,24,4,24
16,0,26,4,26
13,0,30,4,28
13,0,31,6,29
14,0,32,8,30
14,0,33,10,31
15,0,33,10,31
15,0,32,10,30
16,0,31,9,29
21,0,30,9,28
26,0,28,8,27
31,0,26,7,25
33,0,24,6,25
35,0,22,5,24
37,0,21,4,24
36,0,21,4,21
36,0,21,4,21
35,0,20,4,20
34,0,20,3,20
34,0,19,2,19
33,0,19,1,19
30,0,21,1,21
27,0,21,2,21
24,0,22,2,24
21,0,23,3,24
18,0,26,5,25
15,0,29,7,27
15,0,31,8,29
14,0,32,9,30
13,0,33,9,31
14,0,33,10,31
15,0,32,11,30
17,0,31,12,28
23,0,29,10,28
30,0,27,9,26
37,0,25,8,25
41,0,22,6,24
46,0,21,5,24
50,0,20,4,20
50,0,20,3,20
51,0,19,3,19
51,0,18,2,18
48,0,17,2,17
44,0,17,1,17
41,0,16,1,16
36,0,17,2,17
31,0,18,3,18
26,0,19,4,19
22,0,20,3,20
19,0,24,3,25
16,0,27,2,26
16,0,29,4,27
16,0,31,6,28
15,0,32,9,30
17,0,32,9,30
19,0,32,10,30
21,0,31,10,29
29,0,30,9,28
37,0,28,8,27
45,0,25,8,25
49,0,23,7,25
53,0,22,7,24
58,0,21,6,21
58,0,20,6,20
58,0,20,5,20
58,0,18,4,18
56,0,18,5,18
54,0,17,6,17
52,0,16,7,16
47,0,18,6,18
42,0,18,5,18
37,0,19,5,19
29,0,21,3,24
22,0,24,2,25
15,0,29,1,27
14,0,31,2,29
